A01,"Intel: Jamel Tayeb, Bijan Arbab; UCSD: Teresa Rexin"
A02,Franklin Templeton: Sheffield Nolan
A03,"DataStax: Jonathan Shook, Derrick Cosmas; UCSD: Justin Eldridge"
A04,"TigerGraph: Jonathan Herke, Jay Yu, Andrew Wei; UCSD: Biwei Huang"
A05,"Deloitte: Rasmus Nielsen, Jeffry Liu, Nandita Rahman, Aritra Nath, Emma Harvey, Meira Gilbert; UCSD: David Danks"
A06,Petal: Brian Duke; UCSD: Berk Ustun
A07,Flock Freight: Matt Stirling; UCSD: Soohyun Liao
A08,Talmo Pereira
A09,Barna Saha
A10,Stuart Geiger
A11,Yusu Wang
A12,Molly Roberts
A13,Gal Mishne
A14,Albert Hsiao
A15,Arya Mazumdar
A16,Mikio Aoi
A17,Tiffany Amariuta
B01,Benjamin Smarr
B25,"Yian Ma, Rose Yu"
B319,"Alex Cloninger, Yoav Freund"
B04,Zhiting Hu
B06,Jelena Bradic
B07,Lily Weng
B08,Rajesh Gupta
B09,Armin Schwartzman
B10,Rajesh Gupta
B12,Babak Salimi
B13,David Fenning
B14,Jingbo Shang
B15,Mikhail Belkin
B16,Haojian Jin
B17,Yuhua Zhu
B18,Rob Knight
B20,Tauhidur Rahman